Date,Open,High,Low,Close
2022-01-01,100.50,102.20,98.50,101.80
2022-01-02,102.00,105.50,100.80,104.20
2022-01-03,104.30,106.80,103.50,105.50
2022-01-04,105.60,107.50,103.80,105.20
2022-01-05,104.80,106.50,103.20,104.90
2022-01-06,105.00,107.20,103.70,106.80
2022-01-07,107.00,109.20,105.30,108.90
2022-01-08,109.00,111.50,108.20,110.60
2022-01-09,110.50,113.20,109.50,112.80
2022-01-10,113.00,115.80,111.90,113.20
2022-01-11,112.80,114.70,111.50,113.10
2022-01-12,113.10,115.30,111.80,114.60
2022-01-13,114.70,117.50,112.80,115.90
2022-01-14,115.80,118.00,114.50,116.50
2022-01-15,116.50,118.80,115.70,117.90
2022-01-16,118.00,121.50,116.80,119.80
2022-01-17,120.20,123.80,118.50,121.70
2022-01-18,122.00,125.20,120.50,124.30
2022-01-19,123.50,126.80,122.60,125.90
2022-01-20,125.80,128.50,124.20,127.40
2022-01-21,128.00,131.20,126.50,130.10
2022-01-22,130.50,133.80,128.70,132.70
2022-01-23,133.00,136.20,131.90,134.80
2022-01-24,134.90,138.20,133.60,137.10
2022-01-25,137.20,140.50,135.80,139.90
2022-01-26,140.00,143.50,138.80,142.20
2022-01-27,142.30,145.20,140.80,143.50
2022-01-28,143.90,147.00,142.50,145.60
2022-01-29,146.00,149.20,144.70,148.00
2022-01-30,148.50,152.00,147.20,150.80
